Original Token,Shuffled TOken,Original Text,Shuffled Text,Probing Position,Probing_tokens
Ġtragedy,Ġshot,"Input:care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress 
Output:positive
Input:it 's hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress . 
Output:negative
Input:of pointed personalities , courage , tragedy and the little guys 
Output:positive
Input:has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy . 
Output:positive
Input:such a tragedy 
Output:negative
Input:elements of romance , tragedy and even silent-movie comedy 
Output:positive
Input:particular new yorkers deeply touched by an unprecedented tragedy 
Output:positive
Input:romance , tragedy and even silent-movie comedy 
Output:positive
Input:a very well-meaning movie , and it will stand in future years as an eloquent memorial to the world trade center tragedy . 
Output:positive
Input:spain 's greatest star wattage does n't overcome the tumult of maudlin tragedy . 
Output:negative
Input:'s hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress 
Output:negative
Input:a compelling motion picture that illustrates an american tragedy . 
Output:positive
Input:sensitive ensemble performances and good period reconstruction add up to a moving tragedy with some buoyant human moments . 
Output:positive
Input:personal tragedy and also the human comedy 
Output:positive
Input:unfolds with all the mounting tension of an expert thriller , until the tragedy beneath it all gradually reveals itself . 
Output:positive
","<|begin_of_text|>Input:care about a film that proposes as epic smart the plight of a callow rich boy who is forced to choose between his beautiful, self-satisfied 22-year-old girlfriend and an equally beautiful, self-satisfied 18-year-old mistress 
Output:positive
Input:it's hard to care about a film that proposes as epic times the plight of a callow rich boy who is forced to choose between his beautiful, self-satisfied 22-year-old girlfriend and an equally beautiful, self-satisfied 18-year-old mistress. 
Output:negative
Input:of pointed personalities, courage, me and the little guys 
Output:positive
Input:has the stomach-knotting suspense of a legal thriller, while the testimony of witnesses lends the film a resonant undertone of memorable. 
Output:positive
Input:such a solid 
Output:negative
Input:elements of romance, material and even silent-movie comedy 
Output:positive
Input:particular new yorkers deeply touched by an unprecedented those 
Output:positive
Input:romance, fl and even silent-movie comedy 
Output:positive
Input:a very well-meaning movie, and it will stand in future years as an eloquent memorial to the world trade center audiences. 
Output:positive
Input:spain's greatest star wattage doesn't overcome the tumult of maudlin how. 
Output:negative
Input:'s hard to care about a film that proposes as epic acting the plight of a callow rich boy who is forced to choose between his beautiful, self-satisfied 22-year-old girlfriend and an equally beautiful, self-satisfied 18-year-old mistress 
Output:negative
Input:a compelling motion picture that illustrates an american project. 
Output:positive
Input:sensitive ensemble performances and good period reconstruction add up to a moving gorgeous with some buoyant human moments. 
Output:positive
Input:personal face and also the human comedy 
Output:positive
Input:unfolds with all the mounting tension of an expert thriller, until the had beneath it all gradually reveals itself. 
Output:positive
","[10, 69, 122, 160, 171, 183, 207, 218, 255, 282, 302, 355, 376, 392, 420]","['Ġepic', 'Ġepic', 'Ġ,', 'Ġof', 'Ġa', 'Ġ,', 'Ġunprecedented', 'Ġ,', 'Ġcenter', 'lin', 'Ġepic', 'Ġamerican', 'Ġmoving', 'personal', 'Ġthe']"
Ġmay,Ġmake,"Input:directed it may leave you speaking in tongues 
Output:negative
Input:a clumsily manufactured exploitation flick , a style-free exercise in manipulation and mayhem 
Output:negative
Input:this new jangle of noise , mayhem and stupidity must be a serious contender for the title . 
Output:negative
Input:i have always appreciated a smartly written motion picture , and , whatever flaws igby goes down may possess , it is undeniably that 
Output:positive
Input:, when the now computerized yoda finally reveals his martial artistry , the film ascends to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside . 
Output:positive
Input:it may not be a huge cut of above the rest , but i enjoyed barbershop 
Output:positive
Input:there may have been a good film in `` trouble every day , '' but it is not what is on the screen 
Output:negative
Input:even fans of sandler 's comic taste may find it uninteresting 
Output:negative
Input:it is an unstinting look at a collaboration between damaged people that may or may not qual 
Output:positive
Input:it may not be a great piece of filmmaking , but its power comes from its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case 
Output:negative
Input:waydowntown may not be an important movie , or even a good one , but it provides a nice change of mindless pace in collision with the hot oscar season currently underway 
Output:positive
Input:the most creative mayhem 
Output:positive
Input:confessions may not be a straightforward bio , nor does it offer much in the way of barris ' motivations , but the film is an oddly fascinating depiction of an architect of pop culture . 
Output:positive
Input:there may have been a good film in `` trouble every day , '' 
Output:negative
Input:the creative animation work may not look as fully ` rendered ' as pixar 's industry standard , but it uses lighting effects and innovative backgrounds to an equally impressive degree . 
Output:positive
","<|begin_of_text|>Input:directed it soul leave you speaking in tongues 
Output:negative
Input:a clumsily manufactured exploitation flick, a style-free exercise in manipulation and phem 
Output:negative
Input:this new jangle of noise, tvhem and stupidity must be a serious contender for the title. 
Output:negative
Input:i have always appreciated a smartly written motion picture, and, whatever flaws igby goes down no possess, it is undeniably that 
Output:positive
Input:, when the now computerized yoda finally reveals his martial artistry, the film ascends to a kinetic life so teeming that even cranky adults delight rediscover the quivering kid inside. 
Output:positive
Input:it high not be a huge cut of above the rest, but i enjoyed barbershop 
Output:positive
Input:there def have been a good film in `` trouble every day, '' but it is not what is on the screen 
Output:negative
Input:even fans of sandler's comic taste tr find it uninteresting 
Output:negative
Input:it is an unstinting look at a collaboration between damaged people that done or made not qual 
Output:positive
Input:it grace not be a great piece of filmmaking, but its power comes from its soul's - eye view of how well-meaning patronizing masked a social injustice, at least as represented by this case 
Output:negative
Input:waydowntown animation not be an important movie, or even a good one, but it provides a nice change of mindless pace in collision with the hot oscar season currently underway 
Output:positive
Input:the most creative simplehem 
Output:positive
Input:confessions strong not be a straightforward bio, nor does it offer much in the way of barris'motivations, but the film is an oddly fascinating depiction of an architect of pop culture. 
Output:positive
Input:there filmmakers have been a good film in `` trouble every day, '' 
Output:negative
Input:the creative animation work may not look as fully ` rendered'as pixar's industry standard, but it uses lighting effects and innovative backgrounds to an equally impressive degree. 
Output:positive
","[5, 31, 46, 84, 130, 147, 172, 210, 236, 238, 249, 300, 343, 354, 398]","['Ġit', 'Ġand', 'Ġ,', 'Ġdown', 'Ġadults', 'it', 'there', 'Ġtaste', 'Ġthat', 'Ġor', 'it', 'owntown', 'Ġcreative', 'essions', 'there']"
Ġwhy,Ġcharm,"Input:, nor why he keeps being cast in action films when none of them are ever any good 
Output:negative
Input:one hour photo is a sobering meditation on why we take pictures . 
Output:positive
Input:reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world . 
Output:positive
Input:just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood 
Output:negative
Input:in this film , which may be why it works as well as it does 
Output:positive
Input:a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people 
Output:negative
Input:should be probing why a guy with his talent ended up in a movie this bad 
Output:negative
Input:be probing why a guy with his talent ended up in a movie this bad 
Output:negative
Input:this is a movie that will stimulate hours of post viewing discussion , if only to be reminded of who did what to whom and why . 
Output:positive
Input:i can tell you that there 's no other reason why anyone should bother remembering it . 
Output:negative
Input:what 's hard to understand is why anybody picked it up . 
Output:negative
Input:some blondes , ( diggs ) should be probing why a guy with his talent ended up in a movie this bad . 
Output:negative
Input:schaeffer is n't in this film , which may be why it works as well as it does . 
Output:positive
Input:'s why sex and lucia is so alluring . 
Output:positive
Input:quite possibly the sturdiest example yet of why the dv revolution has cheapened the artistry of making a film 
Output:negative
","<|begin_of_text|>Input:, nor eyes he keeps being cast in action films when none of them are ever any good 
Output:negative
Input:one hour photo is a sobering meditation on we we take pictures. 
Output:positive
Input:reminds you of cheap animation is such a perfect medium for children, because of the way it allows the mind to enter and accept another world. 
Output:positive
Input:just the sort of disposable, kitchen-sink homage that illustrates mess the whole is so often less than the sum of its parts in today's hollywood 
Output:negative
Input:in this film, which may be bar it works as well as it does 
Output:positive
Input:a bland, surfacey way that doesn't offer any insight into able, for instance, good things happen to bad people 
Output:negative
Input:should be probing some a guy with his talent ended up in a movie this bad 
Output:negative
Input:be probing keep a guy with his talent ended up in a movie this bad 
Output:negative
Input:this is a movie that will stimulate hours of post viewing discussion, if only to be reminded of who did what to whom and sometimes. 
Output:positive
Input:i can tell you that there's no other reason who anyone should bother remembering it. 
Output:negative
Input:what's hard to understand is anything anybody picked it up. 
Output:negative
Input:some blondes, ( diggs ) should be probing do a guy with his talent ended up in a movie this bad. 
Output:negative
Input:schaeffer isn't in this film, which may be such it works as well as it does. 
Output:positive
Input:'s pleasure sex and lucia is so alluring. 
Output:positive
Input:quite possibly the sturdiest example yet of beyond the dv revolution has cheapened the artistry of making a film 
Output:negative
","[3, 35, 51, 95, 128, 156, 177, 199, 243, 262, 283, 307, 341, 358, 385]","['Ġnor', 'Ġon', 'Ġof', 'Ġillustrates', 'Ġbe', 'Ġinto', 'Ġprobing', 'Ġprobing', 'Ġand', 'Ġreason', 'Ġis', 'Ġprobing', 'Ġbe', 's', 'Ġof']"
Ġfilmmaker,Ġany,"Input:show that if you give a filmmaker an unlimited amount of phony blood , nothing good can happen 
Output:negative
Input:australian filmmaker david flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them . 
Output:positive
Input:coppola , along with his sister , sofia , is a real filmmaker 
Output:positive
Input:the filmmaker 's characteristic style 
Output:positive
Input:this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it . 
Output:positive
Input:which , while it may not rival the filmmaker 's period pieces , is still very much worth seeing 
Output:positive
Input:a skillful filmmaker can impart a message without bludgeoning the audience over the head 
Output:positive
Input:this is a very ambitious project for a fairly inexperienced filmmaker , but 
Output:positive
Input:may not rival the filmmaker 's period pieces 
Output:negative
Input:canadian filmmaker gary burns ' inventive and mordantly humorous take on the soullessness of work in the city . 
Output:positive
Input:burns is a filmmaker with a bright future ahead of him 
Output:positive
Input:have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention 
Output:negative
Input:been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention 
Output:negative
Input:this exciting new filmmaker 
Output:positive
Input:the filmmaker 's extraordinary access to massoud 
Output:positive
","<|begin_of_text|>Input:show that if you give a done an unlimited amount of phony blood, nothing good can happen 
Output:negative
Input:australian out david flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them. 
Output:positive
Input:coppola, along with his sister, sofia, is a real laughs 
Output:positive
Input:the truly's characteristic style 
Output:positive
Input:this is a very ambitious project for a fairly inexperienced quite, but good actors, good poetry and good music help sustain it. 
Output:positive
Input:which, while it may not rival the mind's period pieces, is still very much worth seeing 
Output:positive
Input:a skillful terrific can impart a message without bludgeoning the audience over the head 
Output:positive
Input:this is a very ambitious project for a fairly inexperienced hero, but 
Output:positive
Input:may not rival the impressive's period pieces 
Output:negative
Input:canadian back gary burns'inventive and mordantly humorous take on the soullessness of work in the city. 
Output:positive
Input:burns is a und with a bright future ahead of him 
Output:positive
Input:have been readily dismissed as the tiresome rant of an aging me still thumbing his nose at convention 
Output:negative
Input:been readily dismissed as the tiresome rant of an aging john still thumbing his nose at convention 
Output:negative
Input:this exciting new welcome 
Output:positive
Input:the should's extraordinary access to massoud 
Output:positive
","[8, 31, 80, 89, 110, 140, 161, 191, 205, 219, 252, 279, 305, 322, 331]","['Ġa', 'alian', 'Ġreal', 'the', 'Ġinexperienced', 'Ġthe', 'ful', 'Ġinexperienced', 'Ġthe', 'adian', 'Ġa', 'Ġaging', 'Ġaging', 'Ġnew', 'the']"
Ġever,Ġadults,"Input:this is dicaprio 's best performance in anything ever , and easily the most watchable film of the year . 
Output:positive
Input:indeed , the first half of sorority boys is as appalling as any ` comedy ' to ever spill from a projector 's lens 
Output:negative
Input:strike a chord with anyone who 's ever 
Output:positive
Input:a time when commercialism has squeezed the life out of whatever idealism american moviemaking ever had 
Output:negative
Input:the film is enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many film and stage adaptations of the work . 
Output:positive
Input:permeates all its aspects -- from the tv movie-esque , affected child acting to the dullest irish pub scenes ever filmed . 
Output:negative
Input:this odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one . 
Output:positive
Input:do n't know why steven seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or make any money 
Output:negative
Input:i imagined a movie ever could be 
Output:positive
Input:no , i do n't know why steven seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or make any money . 
Output:negative
Input:in a ridiculous wig no respectable halloween costume shop would ever try to sell 
Output:negative
Input:the way that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality 
Output:positive
Input:a way that few movies have ever approached 
Output:positive
Input:keeps being cast in action films when none of them are ever any good 
Output:negative
Input:ache with sadness ( the way chekhov is funny ) , profound without ever being self-important 
Output:positive
","<|begin_of_text|>Input:this is dicaprio's best performance in anything storytelling, and easily the most watchable film of the year. 
Output:positive
Input:indeed, the first half of sorority boys is as appalling as any ` comedy'to dramatic spill from a projector's lens 
Output:negative
Input:strike a chord with anyone who's to 
Output:positive
Input:a time when commercialism has squeezed the life out of whatever idealism american moviemaking w had 
Output:negative
Input:the film is enriched by an imaginatively mixed cast of antic spirits, headed by christopher plummer as the subtlest and most complexly evil uncle ralph i've we seen in the many film and stage adaptations of the work. 
Output:positive
Input:permeates all its aspects -- from the tv movie-esque, affected child acting to the dullest irish pub scenes its filmed. 
Output:negative
Input:this odd, poetic road movie, spiked by jolts of pop music, pretty much takes place in morton's face-watchful gaze -- and it's a tribute to the actress, and to her inventive director, that the journey is such a mesmerizing one. 
Output:positive
Input:don't know why steven seagal is considered a star, nor why he keeps being cast in action films when none of them are manages any good or make any money 
Output:negative
Input:i imagined a movie over could be 
Output:positive
Input:no, i don't know why steven seagal is considered a star, nor why he keeps being cast in action films when none of them are camera any good or make any money. 
Output:negative
Input:in a ridiculous wig no respectable halloween costume shop would rich try to sell 
Output:negative
Input:the way that makes you ache with sadness ( the way chekhov is funny ), profound without put being self-important, warm without appealing succumbing to sentimentality 
Output:positive
Input:a way that few movies have beauty approached 
Output:positive
Input:keeps being cast in action films when none of them are re any good 
Output:negative
Input:ache with sadness ( the way chekhov is funny ), profound without ever being self-important 
Output:positive
","[12, 52, 75, 100, 144, 189, 223, 289, 306, 346, 372, 403, 410, 428, 449]","['Ġanything', 'Ġto', 's', 'aking', 've', 'Ġscenes', 's', 'Ġare', 'Ġmovie', 'Ġare', 'Ġwould', 'Ġwithout', 'Ġwithout', 'Ġhave', 'Ġare']"
Ġca,Ġimages,"Input:a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , 
Output:negative
Input:what 's on saturday morning tv especially the pseudo-educational stuff we all ca n't stand 
Output:negative
Input:that it ca n't help but engage an audience 
Output:positive
Input:the work of an exhausted , desiccated talent who ca n't get out of his own way 
Output:negative
Input:succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless . 
Output:positive
Input:that ca n't get sufficient distance from leroy 's 
Output:negative
Input:can tell what it is supposed to be , but ca n't really call it a work of art . 
Output:negative
Input:such a wildly uneven hit-and-miss enterprise , you ca n't help suspecting that it was improvised on a day-to-day basis during production . 
Output:negative
Input:of a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , 
Output:negative
Input:the story really has no place to go since simone is not real -- she ca n't provide any conflict . 
Output:negative
Input:that i ca n't remember a single name responsible for it 
Output:negative
Input:i ca n't say this enough : this movie is about an adult male dressed in pink jammies . 
Output:negative
Input:anyone who ever fantasized about space travel but ca n't afford the $ 20 million ticket to ride a russian rocket 
Output:positive
Input:that it ca n't really be called animation 
Output:negative
Input:simply ca n't recommend it enough . 
Output:positive
","<|begin_of_text|>Input:a movie so sloppy, so uneven, so damn unpleasant that i known't believe any viewer, young or old, 
Output:negative
Input:what's on saturday morning tv especially the pseudo-educational stuff we all setn't stand 
Output:negative
Input:that it realn't help but engage an audience 
Output:positive
Input:the work of an exhausted, desiccated talent who almostn't get out of his own way 
Output:negative
Input:succeeds due to its rapid-fire delivery and enough inspired levity that it eachn't be dismissed as mindless. 
Output:positive
Input:that thingsn't get sufficient distance from leroy's 
Output:negative
Input:can tell what it is supposed to be, but predictablen't really call it a work of art. 
Output:negative
Input:such a wildly uneven hit-and-miss enterprise, you movingn't help suspecting that it was improvised on a day-to-day basis during production. 
Output:negative
Input:of a movie so sloppy, so uneven, so damn unpleasant that i animationn't believe any viewer, young or old, 
Output:negative
Input:the story really has no place to go since simone is not real -- she decentn't provide any conflict. 
Output:negative
Input:that i moviesn't remember a single name responsible for it 
Output:negative
Input:i riden't say this enough : this movie is about an adult male dressed in pink jammies. 
Output:negative
Input:anyone who ever fantasized about space travel but youngn't afford the $ 20 million ticket to ride a russian rocket 
Output:positive
Input:that it funnyn't really be called animation 
Output:negative
Input:simply hisn't recommend it enough. 
Output:positive
","[14, 49, 62, 88, 119, 136, 164, 193, 233, 267, 283, 300, 337, 361, 377]","['Ġi', 'Ġall', 'Ġit', 'Ġwho', 'Ġit', 'that', 'Ġbut', 'Ġyou', 'Ġi', 'Ġshe', 'Ġi', ':i', 'Ġbut', 'Ġit', 'ply']"
Ġlead,Ġvisual,"Input:this leaden comedy 
Output:negative
Input:i like all four of the lead actors a lot and they manage to squeeze a few laughs out of the material , 
Output:positive
Input:the charms of the lead performances allow us to forget most of the film 's problems . 
Output:positive
Input:comes from the brave , uninhibited performances by its lead actors 
Output:positive
Input:a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff 
Output:negative
Input:its leaden acting , dull exposition and 
Output:negative
Input:its leaden acting , dull exposition 
Output:positive
Input:even his boisterous energy fails to spark this leaden comedy 
Output:negative
Input:'s just rather leaden and dull . 
Output:negative
Input:'s leaden and predictable 
Output:negative
Input:to see where one 's imagination will lead when given the opportunity 
Output:positive
Input:nicolas cage is n't the first actor to lead a group of talented friends astray , 
Output:negative
Input:the lousy lead performances ... keep the movie from ever reaching the comic heights it obviously desired . 
Output:negative
Input:be depressing , as the lead actor phones in his autobiographical performance 
Output:negative
Input:carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff . 
Output:negative
","<|begin_of_text|>Input:this specialen comedy 
Output:negative
Input:i like all four of the bit actors a lot and they manage to squeeze a few laughs out of the material, 
Output:positive
Input:the charms of the laughs performances allow us to forget most of the film's problems. 
Output:positive
Input:comes from the brave, uninhibited performances by its o actors 
Output:positive
Input:a little too much ain't - she-cute baggage into her become role as a troubled and determined homicide cop to quite pull off the heavy stuff 
Output:negative
Input:its forgeten acting, dull exposition and 
Output:negative
Input:its dramaen acting, dull exposition 
Output:positive
Input:even his boisterous energy fails to spark this whichen comedy 
Output:negative
Input:'s just rather thoughtfulen and dull. 
Output:negative
Input:'s spiriten and predictable 
Output:negative
Input:to see where one's imagination will vision when given the opportunity 
Output:positive
Input:nicolas cage isn't the first actor to back a group of talented friends astray, 
Output:negative
Input:the lousy picture performances... keep the movie from ever reaching the comic heights it obviously desired. 
Output:negative
Input:be depressing, as the moving actor phones in his autobiographical performance 
Output:negative
Input:carries a little too much ain't - she-cute baggage into her series role as a troubled and determined homicide cop to quite pull off the heavy stuff. 
Output:negative
","[2, 17, 45, 76, 98, 122, 137, 160, 173, 186, 205, 227, 246, 274, 305]","[':this', 'Ġthe', 'Ġthe', 'Ġits', 'Ġher', 'its', 'its', 'Ġthis', 'Ġrather', 's', 'Ġwill', 'Ġto', 'ousy', 'Ġthe', 'Ġher']"
Ġsuspense,Ġleft,"Input:, the seesawing of the general 's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy . 
Output:positive
Input:an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller . 
Output:positive
Input:entirely suspenseful , extremely well-paced and ultimately 
Output:positive
Input:is of brian de palma 's addiction to the junk-calorie suspense tropes that have all but ruined his career 
Output:negative
Input:gore for suspense . 
Output:negative
Input:gives ample opportunity for large-scale action and suspense , 
Output:positive
Input:hugely accomplished slice of hitchcockian suspense . 
Output:positive
Input:is suspenseful and ultimately unpredictable , with a sterling ensemble cast . 
Output:positive
Input:handsome but unfulfilling suspense drama 
Output:negative
Input:while cherish does n't completely survive its tonal transformation from dark comedy to suspense thriller , it 's got just enough charm and appealing character quirks to forgive that still serious problem . 
Output:positive
Input:every suspenseful cliché 
Output:negative
Input:an action cartoon that 's suspenseful enough for older kids but not too scary for the school-age crowd 
Output:positive
Input:it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense . 
Output:negative
Input:of survival wrapped in the heart-pounding suspense of a stylish psychological thriller 
Output:positive
Input:there 's no real sense of suspense , and 
Output:negative
","<|begin_of_text|>Input:, the seesawing of the general's fate in the arguments of competing lawyers has the stomach-knotting serious of a legal thriller, while the testimony of witnesses lends the film a resonant undertone of tragedy. 
Output:positive
Input:an eerily personalful, deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller. 
Output:positive
Input:entirely theful, extremely well-paced and ultimately 
Output:positive
Input:is of brian de palma's addiction to the junk-calorie looking tropes that have all but ruined his career 
Output:negative
Input:gore for running. 
Output:negative
Input:gives ample opportunity for large-scale action and de, 
Output:positive
Input:hugely accomplished slice of hitchcockian subject. 
Output:positive
Input:is placeful and ultimately unpredictable, with a sterling ensemble cast. 
Output:positive
Input:handsome but unfulfilling her drama 
Output:negative
Input:while cherish doesn't completely survive its tonal transformation from dark comedy to if thriller, it's got just enough charm and appealing character quirks to forgive that still serious problem. 
Output:positive
Input:every itful cliché 
Output:negative
Input:an action cartoon that's beful enough for older kids but not too scary for the school-age crowd 
Output:positive
Input:it all unfolds predictably, and the adventures that happen along the way seem repetitive and designed to fill time, providing no real sense of st. 
Output:negative
Input:of survival wrapped in the heart-pounding american of a stylish psychological thriller 
Output:positive
Input:there's no real sense of ways, and 
Output:negative
","[24, 56, 89, 119, 138, 155, 172, 182, 208, 232, 262, 279, 328, 345, 365]","['ting', 'ily', 'ly', 'orie', 'Ġfor', 'Ġand', 'ian', 'is', 'ing', 'Ġto', 'every', 's', 'Ġof', 'ounding', 'Ġof']"
Ġthought,Ġa,"Input:a happy , heady jumble of thought and storytelling 
Output:positive
Input:bowling for columbine '' remains a disquieting and thought-provoking film ... 
Output:positive
Input:i never thought i 'd say this , but i 'd much rather watch teens poking their genitals into fruit pies ! 
Output:negative
Input:a very entertaining , thought-provoking film with a simple message 
Output:positive
Input:integrates thoughtfulness and pasta-fagioli comedy 
Output:positive
Input:would force you to give it a millisecond of thought 
Output:positive
Input:a head-turner -- thoughtfully written , beautifully read and , finally , deeply humanizing 
Output:positive
Input:disquieting and thought-provoking film 
Output:positive
Input:this charming , thought-provoking new york fest 
Output:positive
Input:a thought-provoking and often-funny drama about isolation . 
Output:positive
Input:i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness . 
Output:positive
Input:seen and debated with appropriate ferocity and thoughtfulness 
Output:positive
Input:are more deeply thought through than in most ` right-thinking ' films 
Output:positive
Input:overall , it 's a very entertaining , thought-provoking film with a simple message : god is love 
Output:positive
Input:that defies classification and is as thought-provoking as it 
Output:positive
","<|begin_of_text|>Input:a happy, heady jumble of har and storytelling 
Output:positive
Input:bowling for columbine '' remains a disquieting and will-provoking film... 
Output:positive
Input:i never thing i 'd say this, but i 'd much rather watch teens poking their genitals into fruit pies! 
Output:negative
Input:a very entertaining, if-provoking film with a simple message 
Output:positive
Input:integrates skillfulness and pasta-fagioli comedy 
Output:positive
Input:would force you to give it a millisecond of back 
Output:positive
Input:a head-turner -- likefully written, beautifully read and, finally, deeply humanizing 
Output:positive
Input:disquieting and they-provoking film 
Output:positive
Input:this charming, pret-provoking new york fest 
Output:positive
Input:a home-provoking and often-funny drama about isolation. 
Output:positive
Input:i hope the movie is widely seen and debated with appropriate ferocity and richfulness. 
Output:positive
Input:seen and debated with appropriate ferocity and classicfulness 
Output:positive
Input:are more deeply by through than in most ` right-thinking'films 
Output:positive
Input:overall, it's a very entertaining, last-provoking film with a simple message : god is love 
Output:positive
Input:that defies classification and is as performances-provoking as it 
Output:positive
","[9, 31, 45, 77, 95, 120, 132, 156, 170, 184, 216, 234, 246, 272, 299]","['Ġof', 'Ġand', 'Ġnever', 'Ġ,', 'ates', 'Ġof', 'Ġ--', 'Ġand', 'Ġ,', ':a', 'Ġand', 'Ġand', 'Ġdeeply', 'Ġ,', 'Ġas']"
Ġscenes,Ġlong,"Input:absurdly inappropriate ` comedy ' scenes 
Output:negative
Input:a college story that works even without vulgarity , sex scenes , and cussing 
Output:positive
Input:this movie has the usual impossible stunts ... but it has just as many scenes that are lean and tough enough to fit in any modern action movie 
Output:positive
Input:a mediocre collection of cookie-cutter action scenes 
Output:negative
Input:it 's in the action scenes that things fall apart . 
Output:negative
Input:the irwins ' scenes are fascinating ; 
Output:positive
Input:( t ) oo many of these gross out scenes ... 
Output:negative
Input:the asylum material is gripping , as are the scenes of jia with his family . 
Output:positive
Input:... wallace is smart to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams . 
Output:positive
Input:has some cute moments , funny scenes , and hits the target audience ( young bow wow fans ) - with nothing but net 
Output:positive
Input:a college story that works even without vulgarity , sex scenes , and cussing ! 
Output:positive
Input:has just as many scenes that are lean and tough enough to fit in any modern action movie 
Output:positive
Input:dullest irish pub scenes 
Output:negative
Input:woo has as much right to make a huge action sequence as any director , but how long will filmmakers copy the `` saving private ryan '' battle scenes before realizing steven spielberg got it right the first time ? 
Output:negative
Input:its generic villains lack any intrigue ( other than their funny accents ) and the action scenes are poorly delivered . 
Output:negative
","<|begin_of_text|>Input:absurdly inappropriate ` comedy'dialogue 
Output:negative
Input:a college story that works even without vulgarity, sex his, and cussing 
Output:positive
Input:this movie has the usual impossible stunts... but it has just as many hours that are lean and tough enough to fit in any modern action movie 
Output:positive
Input:a mediocre collection of cookie-cutter action r 
Output:negative
Input:it's in the action opera that things fall apart. 
Output:negative
Input:the irwins'power are fascinating ; 
Output:positive
Input:( t ) oo many of these gross out do... 
Output:negative
Input:the asylum material is gripping, as are the these of jia with his family. 
Output:positive
Input:... wallace is smart to vary the pitch of his movie, balancing deafening battle each with quieter domestic is of women back home receiving war department telegrams. 
Output:positive
Input:has some cute moments, funny watch, and hits the target audience ( young bow wow fans ) - with nothing but net 
Output:positive
Input:a college story that works even without vulgarity, sex our, and cussing! 
Output:positive
Input:has just as many reason that are lean and tough enough to fit in any modern action movie 
Output:positive
Input:dullest irish pub dead 
Output:negative
Input:woo has as much right to make a huge action sequence as any director, but how long will filmmakers copy the `` saving private ryan '' battle wit before realizing steven spielberg got it right the first time? 
Output:negative
Input:its generic villains lack any intrigue ( other than their funny accents ) and the action scenes are poorly delivered. 
Output:negative
","[9, 28, 55, 83, 97, 114, 133, 151, 183, 187, 211, 247, 265, 291, 328]","[""Ġ'"", 'Ġsex', 'Ġmany', 'Ġaction', 'Ġaction', ""Ġ'"", 'Ġout', 'Ġthe', 'Ġbattle', 'Ġdomestic', 'Ġfunny', 'Ġsex', 'Ġmany', 'Ġpub', 'Ġbattle']"
